user_id,order_id,channel,order_value,date
4932662498284478415,1472510126,(direct),798.93,20160829
0790076231044119145,1472503146,(direct),69.01,20160829
7060354578698145518,1472529951,google,31.49,20160829
3598574588288765036,1472482634,google,23.49,20160829
1707670844479658461,1472489070,(direct),131.28,20160829
7994759815756161325,1472496158,(direct),165.61,20160829
2604472846435898379,1472502588,(direct),458.44,20160829
8264774401325439003,1472484584,(direct),41.68,20160829
0783281135159334087,1472515574,(direct),43.45,20160829
1340775031836194924,1475517981,(direct),29.99,20161003
4474580511359381331,1475519780,(direct),1691.5,20161003
6566774307338072036,1475531049,(direct),175.45,20161003
8867685262588027601,1475514288,(direct),38.38,20161003
3039060719981952485,1475528208,(direct),190.8,20161003
1639589047263376521,1475560020,(direct),31.99,20161003
1441088421575117685,1475512214,(direct),19.19,20161003
1143734033169248522,1475478885,(direct),16.99,20161003
3214855097545291726,1475523389,(direct),23.9,20161003
5887849058822875277,1475554371,(direct),44.79,20161003
6849604863010168468,1475519594,(direct),175.0,20161003
5404315968522337707,1475546271,(direct),1.5,20161003
4133979497741500741,1475524792,(direct),35.18,20161003
9631204932882122975,1475498100,dfa,71.17,20161003
4800011549087110136,1475503142,(direct),259.75,20161003
1102143761289282826,1475524706,(direct),16.99,20161003
4362809979067745350,1475531955,(direct),206.81,20161003
0147601968852145702,1475532350,(direct),539.7,20161003
0777922178356486144,1475541987,(direct),55.18,20161003
4615176639539455551,1475538863,(direct),62.36,20161003
3188368730358313533,1475534510,(direct),194.88,20161003
665690697485420563,1475524881,(direct),647.1,20161003
4339833158630561552,1475542300,(direct),60.78,20161003
3503177740835852213,1475533717,(direct),12.79,20161003
368179555131058914,1475521349,(direct),12.98,20161003
7874937204637644327,1475525178,(direct),1.59,20161003
3033366073043100694,1475519229,(direct),117.94,20161003
1786848071715293136,1475550539,(direct),19.48,20161003
5996951375887709557,1475500560,(direct),414.65,20161003
662174499954069675,1475557081,(direct),24.78,20161003
698203322681818933,1475508035,(direct),93.03,20161003
429905913707585380,1475519403,(direct),16.99,20161003
0567269899914580234,1475483371,(direct),34.92,20161003
6453870986532490896,1475530868,dfa,197.98,20161003
4213215348568298607,1475517672,(direct),16.99,20161003
6113762256658740210,1476904683,(direct),19.99,20161019
7760371305511831851,1476914034,(direct),19.99,20161019
0492938094127153086,1476901604,(direct),79.99,20161019
5697412043275754287,1476889581,(direct),13.59,20161019
8952979124957210771,1476927829,(direct),39.99,20161019
8984229209576578467,1476919261,siliconvalley.about.com,39.99,20161019
7010905385006464130,1476900794,(direct),39.17,20161019
3950894021411842984,1476902658,(direct),169.75,20161019
5112140258403327266,1476892719,(direct),44.77,20161019
959439201025524582,1476894083,dfa,143.8,20161019
0133153998054254261,1476932694,(direct),15.99,20161019
1062767743100240941,1476916934,(direct),44.79,20161019
2839647101049263045,1476905587,(direct),30.38,20161019
4224965704063643029,1476932821,(direct),25.56,20161019
8251114110522799892,1476932479,(direct),12.49,20161019
5147300688603884511,1476888589,(direct),76.76,20161019
9593778944877514352,1476915712,dfa,120.92,20161019
6464675579051292067,1476933503,(direct),88.9,20161019
1032386538245862458,1476889083,(direct),74.46,20161019
8043579389028466016,1476930529,(direct),133.92,20161019
9952616174324085427,1476901988,(direct),81.54,20161019
5697742693830141679,1476935183,(direct),84.97,20161019
2079305443218957036,1476919377,(direct),1167.79,20161019
119870259714905967,1476895781,(direct),916.7,20161019
5282620587109822373,1476874130,(direct),523.39,20161019
8533777620036139796,1476929249,(direct),844.59,20161019
1554718843022291627,1476889411,(direct),15.19,20161019
7383823269227966775,1476900919,(direct),2021.7,20161019
2895356317388379178,1476894175,(direct),57.58,20161019
2137148419156971164,1488561849,google,16.99,20170303
5305744522650786238,1488578242,google,44.79,20170303
7753883779576218882,1488542619,(direct),99.95,20170303
3024684683142249446,1488586781,google,23.98,20170303
173863901552294318,1488556861,google,16.78,20170303
009046037663524262,1488553338,google,107.18,20170303
3783357047189991250,1488589500,google,7.99,20170303
6849604863010168468,1488558550,(direct),470.48,20170303
5473881678861602565,1488578313,(direct),58.36,20170303
2175891853149827407,1488588918,(direct),19.19,20170303
5843493310673425771,1488555157,(direct),77.55,20170303
3979304025284587747,1488578939,(direct),15.19,20170303
1722806790293902576,1488557587,(direct),201.46,20170303
9954048786263371625,1488578454,google,269.7,20170303
1680230246971032368,1488588625,google,16.99,20170303
4633246963360830872,1488572124,(direct),94.95,20170303
